News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
209				 || 			Neutral			 || 			"nullWASHINGTON, rnA, Canadian, geologist, may, have, found, the, earliest, fossil, record, of, animal, life, on, Earth, according, to, a, report, published, Wednesday, in, the, journal, Nature, rnAround, a, billion, years, ago, a"			 || 			"WASHINGTON  rnA Canadian geologist may have found the earliest fossil record of animal life on Earth, according to a report published Wednesday in the journal Nature.rnAround a billion years ago, a "
210				 || 			Neutral			 || 			"nullCALGARY, rnCalgarians, woke, up, to, a, thick, blanket, of, smoke, Sunday, morning, as, wildfires, from, B, C, as, well, as, the, U, S, continue, to, waft, in, and, descend, throughout, the, city, rnEnvironment, Canadas, special"			 || 			"CALGARY  rnCalgarians woke up to a thick blanket of smoke Sunday morning as wildfires from B.C. as well as the U.S. continue to waft in and descend throughout the city.rnEnvironment Canadas special "
211				 || 			Positive			 || 			"nullThe, first, medical, implant, to, come, of, that, breakthrough, was, a, thin, sheet, that, electrically, jolts, injured, tissue, to, kickstart, nerve, regeneration, which, the, team, tested, in, rats, Rogers, then, teamed, up, w"			 || 			"The first medical implant to come of that breakthrough was a thin sheet that electrically jolts injured tissue to kickstart nerve regeneration, which the team tested in rats. Rogers then teamed up w "
212				 || 			Neutral			 || 			"nullMONTREAL, Prime, Minister, Justin, Trudeau, said, Tuesday, hes, not, happy, with, the, Montreal, Canadiens, draft, selection, of, a, player, convicted, of, a, sexrelated, offence, rnAs, a, lifelong, Habs, fan, I, have, to"			 || 			"MONTREAL  Prime Minister Justin Trudeau said Tuesday hes not happy with the Montreal Canadiens draft selection of a player convicted of a sexrelated offence.rnAs a lifelong Habs fan, I have to  "
213				 || 			Positive			 || 			"nullBlackstreets, No, Diggity, kicks, off, the, virtual, mixer, as, people, excitedly, connect, in, the, Zoom, chat, Love, the, vibe, right, now, says, Brionna, DavisReyes, in, appreciation, of, both, the, DJ, and, the, sign, languag"			 || 			"Blackstreets No Diggity kicks off the virtual mixer as people excitedly connect in the Zoom chat. Love the vibe right now, says Brionna DavisReyes in appreciation of both the DJ and the sign languag "
214				 || 			Neutral			 || 			"nullWhen, will, the, Blue, Jays, return, home, to, Toronto?, Its, a, question, thats, loomed, over, the, organization, for, nearly, two, seasons, now, and, a, question, that, none, of, Major, League, Baseballs, other, 29, clubs, have, ha"			 || 			"When will the Blue Jays return home to Toronto? Its a question thats loomed over the organization for nearly two seasons now, and a question that none of Major League Baseballs other 29 clubs have ha "
215				 || 			Positive			 || 			"nullOntarios, top, doctor, is, calling, for, all, eligible, people, especially, young, adults, and, teens, to, get, vaccinated, against, COVID19, ahead, of, the, planned, return, to, schools, in, September, rnDr, Kieran, Moore"			 || 			"Ontarios top doctor is calling for all eligible people  especially young adults and teens  to get vaccinated against COVID19 ahead of the planned return to schools in September.rnDr. Kieran Moore "
216				 || 			Positive			 || 			"nullAre, you, looking, to, hire, a, team, player, a, selfstarter, or, someone, proactive, to, take, it, to, the, next, level?, Well, maybe, you, should, stop, rnThe, labor, market, is, tight, and, small, businesses, across, the, count"			 || 			"Are you looking to hire a team player, a selfstarter, or someone proactive to take it to the next level? Well, maybe you should stop.rnThe labor market is tight and small businesses across the count "
217				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Monday, as, the, active, number, of, cases, in, the, province, rises, to, 26, rnThe, case, is, in, the, provinces, Moncton, region, (Zone, 1), and, involv"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Monday as the active number of cases in the province rises to 26.rnThe case is in the provinces Moncton region (Zone 1) and involv "
218				 || 			Negative			 || 			"nullFREDERICTON, rnNew, Brunswicks, health, minister, says, experts, are, working, as, quickly, as, possible, to, study, a, mysterious, neurological, disease, that, has, killed, six, people, and, infected, 48, rnBut, Dorothy, Sh"			 || 			"FREDERICTON  rnNew Brunswicks health minister says experts are working as quickly as possible to study a mysterious neurological disease that has killed six people and infected 48.rnBut Dorothy Sh "
219				 || 			Neutral			 || 			"nullAltBionics, made, waves, back, in, late, 2019, when, the, brand, new, startup, competed, at, the, University, of, Texas, at, San, Antonio, (UTSA), Tech, Symposium, The, company, finished, second, to, 3BMs, infrared, paintcuring"			 || 			"AltBionics made waves back in late 2019 when the brand new startup competed at the University of Texas at San Antonio (UTSA) Tech Symposium. The company finished second to 3BMs infrared paintcuring "
220				 || 			Neutral			 || 			"nullVAUGHAN, ON, July, 13, 2021, /CNW/, Kelseys, Original, Roadhouse, is, proud, to, announce, the, launch, of, Route, 78, Hard, Soda, in, collaboration, with, Ketel, One, Vodka, Starting, today, Kelseys, will, now, offer, its, f"			 || 			"VAUGHAN, ON, July 13, 2021 /CNW/  Kelseys Original Roadhouse is proud to announce the launch of Route 78 Hard Soda in collaboration with Ketel One Vodka. Starting today, Kelseys will now offer its f "
221				 || 			Negative			 || 			"nullHERE, ARE, A, FEW, OF, MY, TRAVEL, REGRETS, Miles, for, FamilyrnWe, will, always, have, regrets, in, life, I, can, empathize, with, some, including, not, traveling, more, prekids, (or, even, premarriage), Nancy, follows, up"			 || 			"HERE ARE A FEW OF MY TRAVEL REGRETS  Miles for FamilyrnWe will always have regrets in life. I can empathize with some, including not traveling more prekids (or even premarriage). Nancy follows up  "
222				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Tuesday, along, with, one, recovery, as, the, active, number, of, cases, in, the, province, drops, to, seven, rnNew, Brunswick, has, had, 2, 346, cumula"			 || 			"HALIFAX  rnNew Brunswick is reporting no new cases of COVID19 on Tuesday, along with one recovery, as the active number of cases in the province drops to seven.rnNew Brunswick has had 2,346 cumula "
223				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, will, move, into, the, Green, phase, of, its, recovery, plan, on, July, 30, lifting, all, public, health, restrictions, and, opening, the, province, to, travel, Premier, Blaine, Higgs, announced, Fr"			 || 			"HALIFAX  rnNew Brunswick will move into the Green phase of its recovery plan on July 30, lifting all public health restrictions and opening the province to travel, Premier Blaine Higgs announced Fr "
224				 || 			Neutral			 || 			"nullTwo, billionaires, are, neck, and, neck, in, the, final, sprint, to, the, Krmn, line, but, Richard, Branson, may, clinch, it, with, a, July, 11, flight, on, a, Virgin, Galactic, spacecraft, narrowly, beating, out, Jeff, Bezoss, p"			 || 			"Two billionaires are neck and neck in the final sprint to the Krmn line, but Richard Branson may clinch it with a July 11 flight on a Virgin Galactic spacecraft, narrowly beating out Jeff Bezoss p "
225				 || 			Negative			 || 			"nullOver, the, weekend, an, international, consortium, of, news, outlets, reported, that, several, authoritarian, governments, including, Mexico, Morocco, and, the, United, Arab, Emirates, used, spyware, developed, by, NSO, Gro"			 || 			"Over the weekend, an international consortium of news outlets reported that several authoritarian governments including Mexico, Morocco, and the United Arab Emirates used spyware developed by NSO Gro "
226				 || 			Neutral			 || 			"nullPrime, Minister, Justin, Trudeau, receives, his, second, coronavirus, vaccine, at, a, pharmacy, in, Ottawa, July, 2, 2021, Photo, by, Blair, Gable, /REUTERSrnArticle, contentrnMONCTON, N, B, Prime, Minister, Justin, Trudea"			 || 			"Prime Minister Justin Trudeau receives his second coronavirus vaccine at a pharmacy in Ottawa, July 2, 2021. Photo by Blair Gable /REUTERSrnArticle contentrnMONCTON, N.B. Prime Minister Justin Trudea "
227				 || 			Negative			 || 			"nullA, large, shark, possibly, a, great, white, or, a, tiger, fatally, attacked, a, young, man, The, mans, wounds, were, extensive, including, the, loss, of, a, leg, a, hand, and, both, feet, Thanks, to, those, at, the, time, who, rec"			 || 			"A large shark, possibly a great white or a tiger, fatally attacked a young man. The mans wounds were extensive, including the loss of a leg, a hand, and both feet. Thanks to those at the time who rec "
228				 || 			Neutral			 || 			"nullli1, Castro, Neto, A, H, Guinea, F, Peres, N, M, R, Novoselov, K, S, amp, Geim, A, K, The, electronic, properties, of, graphene, Rev, Mod, Phys, 81, 109162, (2009), rnADSrn, CASrnGoogle, Scholarrn/li"			 || 			"li1.Castro Neto, A. H., Guinea, F., Peres, N. M. R., Novoselov, K. S. amp Geim, A. K. The electronic properties of graphene. Rev. Mod. Phys. 81, 109162 (2009).rnADSrn CASrnGoogle Scholarrn/li "
229				 || 			Negative			 || 			"nullA, team, of, microbiologists, studying, glacier, ice, in, Tibet, found, 33, different, viruses, dating, back, to, the, Pleistocene, in, the, core, samples, they, pulled, up, They, suspect, that, the, viral, communities, may, have"			 || 			"A team of microbiologists studying glacier ice in Tibet found 33 different viruses dating back to the Pleistocene in the core samples they pulled up. They suspect that the viral communities may have  "
230				 || 			Neutral			 || 			"nullMore, than, 30, per, cent, of, New, Brunswickers, aged, 12, and, older, are, now, fully, vaccinated, as, the, province, reports, one, new, case, of, COVID19, on, Monday, rnTo, date, 77, 5, per, cent, of, eligible, New, Brunswickers"			 || 			"More than 30 per cent of New Brunswickers aged 12 and older are now fully vaccinated, as the province reports one new case of COVID19 on Monday.rnTo date, 77.5 per cent of eligible New Brunswickers  "
231				 || 			Positive			 || 			"nullRogers, named, Best, in, Test, by, umlaut1, global, leader, in, mobile, network, testing, and, benchmarkingrnReport, ranks, Rogers, as, best, in, overall, reliability, on, wireless, network, and, achieves, top, scores, in, New, B"			 || 			"Rogers named Best in Test by umlaut1, global leader in mobile network testing and benchmarkingrnReport ranks Rogers as best in overall reliability on wireless network and achieves top scores in New B "
232				 || 			Neutral			 || 			"nullNew, Brunswick, reported, no, new, cases, of, COVID19, in, the, province, on, Tuesday, rnOne, more, person, has, recovered, and, there, are, now, seven, known, active, cases, provincewide, rnSix, of, those, cases, are, in, the, Monc"			 || 			"New Brunswick reported no new cases of COVID19 in the province on Tuesday.rnOne more person has recovered and there are now seven known active cases provincewide.rnSix of those cases are in the Monc "
233				 || 			Neutral			 || 			"nullDrenching, rain, and, blustery, winds, from, post, tropical, storm, Elsa, belted, the, Maritimes, overnight, resulting, in, widespread, power, outages, in, some, areas, rnNova, Scotia, Power, is, dealing, with, outages, affectin"			 || 			"Drenching rain and blustery winds from post tropical storm Elsa belted the Maritimes overnight resulting in widespread power outages in some areas.rnNova Scotia Power is dealing with outages affectin "
